,player_id,season,player_display_name,team,GP,position,age,season_type,carries,rushing_yards,rushing_tds,rushing_fumbles_lost,rushing_first_downs,rushing_2pt_conversions,receptions,targets,receiving_yards,receiving_tds,receiving_fumbles_lost,receiving_air_yards,receiving_yards_after_catch,receiving_first_downs,receiving_2pt_conversions,special_teams_tds,rrtd,fantasy_points,oline,qb,rb,wrte,dst
44,00-0022811,2014,Jerricho Cotchery,car,15,WR,32.0,REG,0,0.0,0,0.0,0.0,0,48,78,580.0,1,0.0,888.0,199.0,30.0,1,0.0,1,66.0,44.32475934008109,10.811169877525488,11.608288602230058,30.770252728341774,96.9270008728129
45,00-0022811,2015,Jerricho Cotchery,car,14,WR,33.0,REG,1,16.0,0,0.0,1.0,0,39,54,485.0,3,0.0,451.0,196.0,26.0,0,0.0,3,68.1,59.28853754940712,14.222888568270807,16.442827489016196,40.480529002001525,124.13341259647623
46,00-0022921,2013,Larry Fitzgerald,crd,16,WR,30.0,REG,2,8.0,0,0.0,0.0,0,82,134,954.0,10,1.0,1363.0,335.0,49.0,0,0.0,10,154.20000000000002,42.854457740743065,11.16143802211102,8.496741511541593,31.76716975523906,116.88513342721988
47,00-0022921,2014,Larry Fitzgerald,crd,14,WR,31.0,REG,0,0.0,0,0.0,0.0,0,63,104,784.0,2,1.0,1037.0,333.0,39.0,0,0.0,2,88.4,37.63890178599065,9.958125748753163,6.86619849413816,28.342357900297465,116.83824388801804
48,00-0022921,2015,Larry Fitzgerald,crd,16,WR,32.0,REG,0,0.0,0,0.0,0.0,0,109,145,1215.0,9,2.0,1238.0,462.0,65.0,0,0.0,9,171.5,58.54743083003952,15.079719280123248,12.257996687881086,42.91920102804309,110.39832746478876
49,00-0022921,2016,Larry Fitzgerald,crd,16,WR,33.0,REG,2,5.0,0,0.0,0.0,0,107,150,1023.0,6,1.0,1150.0,358.0,59.0,0,0.0,6,136.8,48.00402004108718,12.348736335901872,10.10968429583588,35.146403417566866,108.6794409671857
50,00-0022921,2017,Larry Fitzgerald,crd,16,WR,34.0,REG,0,0.0,0,0.0,0.0,0,109,161,1156.0,6,1.0,1336.0,408.0,66.0,1,0.0,6,152.44,35.82373957919809,9.34432432014021,7.048778571421528,26.595384603475978,105.5243018346819
51,00-0022921,2018,Larry Fitzgerald,crd,16,WR,35.0,REG,0,0.0,0,0.0,0.0,0,69,112,734.0,6,0.0,1033.0,205.0,39.0,1,0.0,6,116.68,24.718655214445675,6.119999204684025,6.1239277777808665,17.418459274869917,94.07585549689864
52,00-0022921,2019,Larry Fitzgerald,crd,16,WR,36.0,REG,0,0.0,0,0.0,0.0,0,75,109,804.0,4,1.0,852.0,343.0,40.0,0,0.0,4,102.4,47.1315658996121,11.5223799396826,12.24103315767836,32.79446598217356,79.66242845563423
53,00-0022921,2020,Larry Fitzgerald,crd,13,WR,37.0,REG,0,0.0,0,0.0,0.0,0,54,72,409.0,1,0.0,432.0,185.0,25.0,0,0.0,1,46.9,47.29226103271905,11.565523197235152,12.267931711435349,32.91725833059236,109.10095021147475
54,00-0022922,2013,Kellen Winslow,nyj,11,TE,30.0,REG,0,0.0,0,0.0,0.0,0,31,47,388.0,2,0.0,395.0,127.0,20.0,0,0.0,2,50.8,35.0855209573335,8.187139713823433,10.613626249479308,23.30185918549746,101.1111454057224
55,00-0022943,2013,Benjamin Watson,nor,14,TE,32.0,REG,0,0.0,0,0.0,0.0,0,19,30,226.0,2,0.0,305.0,94.0,14.0,0,0.0,2,34.6,57.38988785163836,15.451812837844908,9.437816045639485,43.97823653848166,112.36360497237568
56,00-0022943,2014,Benjamin Watson,nor,14,TE,33.0,REG,0,0.0,0,0.0,0.0,0,20,31,136.0,2,0.0,134.0,78.0,9.0,0,0.0,2,25.6,56.95360138669637,14.85120476460029,11.22430333864992,42.26881356078544,77.09865196078431
57,00-0022943,2015,Benjamin Watson,nor,16,TE,34.0,REG,0,0.0,0,0.0,0.0,0,74,110,825.0,6,1.0,985.0,241.0,42.0,0,0.0,6,116.5,52.865612648221344,14.230851404764447,8.704691313386965,40.50319245971419,65.63998480821418
58,00-0022943,2017,Benjamin Watson,rav,16,TE,36.0,REG,0,0.0,0,0.0,0.0,0,61,79,522.0,4,0.0,416.0,263.0,30.0,0,0.0,4,76.2,46.74870980547836,11.29124782572562,12.67057551378318,32.13662842706523,116.86228765071588
59,00-0022943,2018,Benjamin Watson,nor,13,TE,37.0,REG,0,0.0,0,0.0,0.0,0,35,46,400.0,2,0.0,470.0,87.0,21.0,0,0.0,2,52.0,67.12588938968733,16.786884187042354,15.986128086692675,47.778054993889775,95.02513982602736
60,00-0022943,2019,Benjamin Watson,nwe,9,TE,38.0,REG,0,0.0,0,0.0,0.0,0,17,24,173.0,0,0.0,214.0,83.0,9.0,0,0.0,0,17.3,45.96494298130487,11.777205911657225,9.86098576349959,33.51973990240902,174.0218996062992
61,00-0023176,2013,Josh Cribbs,nyj,4,WR,30.0,REG,13,55.0,0,0.0,2.0,0,2,2,6.0,0,0.0,4.0,2.0,0.0,0,0.0,0,7.62,35.0855209573335,8.187139713823433,10.613626249479308,23.30185918549746,101.1111454057224
62,00-0023176,2014,Josh Cribbs,clt,1,WR,31.0,REG,0,0.0,0,0.0,0.0,0,1,1,8.0,0,0.0,7.0,1.0,0.0,0,0.0,0,0.8,53.98210914043397,14.36113460539346,9.5433978708536,40.8739984922737,109.31622847655072
63,00-0023310,2013,Lance Moore,nor,13,WR,30.0,REG,0,0.0,0,0.0,0.0,0,37,54,457.0,2,0.0,632.0,67.0,26.0,0,0.0,2,57.7,57.38988785163836,15.451812837844908,9.437816045639485,43.97823653848166,112.36360497237568
64,00-0023310,2014,Lance Moore,pit,11,WR,31.0,REG,0,0.0,0,0.0,0.0,0,14,26,198.0,2,0.0,324.0,40.0,11.0,1,0.0,2,33.800000000000004,55.22023090970997,14.499859749316837,10.495585748125668,41.26883159420946,86.83099121175411
65,00-0023310,2015,Lance Moore,det,13,WR,32.0,REG,0,0.0,0,0.0,0.0,0,29,43,337.0,4,1.0,421.0,59.0,20.0,0,0.0,4,55.7,47.67786561264822,12.746789191130432,8.187326461599275,36.27932308244815,85.39784136546186
66,00-0023367,2013,Nate Washington,oti,16,WR,30.0,REG,0,0.0,0,0.0,0.0,0,58,104,919.0,3,0.0,1430.0,233.0,43.0,0,0.0,3,109.9,46.36300983647641,11.44295342345948,11.6242524827737,32.56840589753852,98.901065724723
67,00-0023367,2014,Nate Washington,oti,16,WR,31.0,REG,0,0.0,0,0.0,0.0,0,40,72,647.0,2,0.0,1002.0,140.0,26.0,0,0.0,2,76.7,30.953044231900208,7.947332315137729,6.57699032775053,22.619330435391998,83.03206678884739
68,00-0023367,2015,Nate Washington,htx,13,WR,32.0,REG,0,0.0,0,0.0,0.0,0,47,94,658.0,4,0.0,1067.0,162.0,33.0,0,0.0,4,89.8,38.78458498023715,9.862354698904882,8.609368518958117,28.069778758421588,119.98109673560393
69,00-0023462,2013,Roddy White,atl,13,WR,31.0,REG,0,0.0,0,0.0,0.0,0,63,97,711.0,3,1.0,981.0,115.0,37.0,0,0.0,3,87.10000000000001,46.36300983647641,12.51163371921244,7.513943652954624,35.61003443160463,72.27935373044245
