Unnamed: 0,Rank,Name,Team,Position,Final PPG,Bye Week,ESPN ADP,VBD,Normalized VBD,Normalized ADP,Weighted Score
406,129,Noah Fant,SEA,TE17,4.046902026577422,10,199.0,-3.103036656317448,0.6023276988701604,0.7951807228915663,0.3240718036369517
232,130,Hunter Henry,NE,TE18,5.454624684284332,14,206.0,-1.6953139986105379,0.6614446201584577,0.8232931726907631,0.32212816516400317
356,131,Dawson Knox,BUF,TE19,4.320413891241592,12,209.0,-2.829524791653278,0.6138137535175338,0.8353413654618473,0.299405170231967
42,132,Geno Smith,SEA,QB21,14.619789211466337,10,208.0,-3.1439819061847523,0.6006082144956757,0.8313253012048193,0.29825475350532915
226,133,Luke Musgrave,GB,TE20,5.654568022237066,10,217.0,-1.4953706606578043,0.6698411849982431,0.8674698795180723,0.29372343983682225
215,134,Isaiah Likely,BAL,TE21,5.844473719924571,14,218.0,-1.3054649629702988,0.6778162219282298,0.8714859437751004,0.29330470593589864
309,135,Chigoziem Okonkwo,TEN,TE22,4.621720968381102,5,220.0,-2.528217714513768,0.6264670603783314,0.8795180722891566,0.27227746751108983
93,136,Will Levis,TEN,QB22,10.281037512913173,5,204.0,-7.482733604737916,0.4184035442443314,0.8152610441767069,0.2548383323496046
123,137,Bryce Young,CAR,QB23,8.662807789091712,11,197.0,-9.100963328559377,0.35044643729162517,0.7871485943775101,0.2541299151232305
37,138,Daniel Jones,NYG,QB24,15.097258433064347,11,227.0,-2.666512684586742,0.6206594015929789,0.9076305220883534,0.2508564550160463
454,139,Taysom Hill,NO,QB25,1.7889317729431982,12,169.0,-15.974839344707892,0.06177992676312059,0.6746987951807228,0.24624482140243015
38,140,Derek Carr,NO,QB26,15.03124422031365,12,236.0,-2.73252689733744,0.6178871530980595,0.9437751004016064,0.22472357564829337
248,141,Elijah Mitchell,SF,RB43,5.169914528338239,9,223.0,-6.261474933339116,0.46968996231430676,0.891566265060241,0.21681060315212336
198,142,Zach Ertz,WAS,TE23,6.206586634919451,14,247.0,-0.9433520479754192,0.6930230530295339,0.9879518072289156,0.21634065084861925
292,143,Kadarius Toney,KC,WR51,4.697311157034632,6,231.0,-4.766549478269401,0.532468940812235,0.9236947791164659,0.21315433686214433
194,144,Jahan Dotson,WAS,WR52,6.327573450934161,14,242.0,-3.1362871843698725,0.600931352197108,0.9678714859437751,0.20276936549848978
355,145,Noah Gray,KC,TE24,4.32874948941073,6,250.0,-2.82118919348414,0.6141638046431286,1.0,0.18424914139293858
