,Rank,Name,Team,Position,Final PPG,Bye Week,ESPN ADP
284,285,Jameson Williams,Detroit Lions,WR,7.135306688552991,5.0,163.0
285,286,Hayden Hurst,San Diego Chargers,TE,7.114185882638071,,
286,287,Ameer Abdullah,Oakland Raiders,RB,7.081914975876964,,
287,288,Teagan Quitoriano,Houston Texans,TE,7.05496406103757,14.0,
288,289,Tom Kennedy,Detroit Lions,WR,7.051896663185316,5.0,
289,290,Alexander Mattison,Oakland Raiders,RB,7.030807352710076,,216.0
290,291,Brandon Allen,San Francisco 49ers,QB,7.028602315314119,9.0,
291,292,Russell Wilson,Pittsburgh Steelers,QB,6.998388653837239,9.0,174.0
292,293,Adam Thielen,Carolina Panthers,WR,6.910672399362032,11.0,110.0
293,294,Stone Smartt,San Diego Chargers,TE,6.88151702997565,,
294,295,Isaiah McKenzie,New York Giants,WR,6.823450236439477,11.0,
295,296,David Moore,Carolina Panthers,WR,6.8173005730673255,11.0,
296,297,Clyde Edwards-Helaire,Kansas City Chiefs,RB,6.80938215172564,6.0,
297,298,Malik Willis,Tennessee Titans,QB,6.802391514600153,5.0,
298,299,Will Dissly,San Diego Chargers,TE,6.79721946214513,,
299,300,Diontae Johnson,Carolina Panthers,WR,6.765118372666295,11.0,86.0
300,301,Chase Brown,Cincinnati Bengals,RB,6.748133842140827,12.0,135.0
301,302,Matthew Stafford,St. Louis Rams,QB,6.712709873680995,,144.0
302,303,Sean McKeon,Detroit Lions,TE,6.694898816622102,5.0,
303,304,P.J. Walker,Seattle Seahawks,QB,6.688382384266498,10.0,
304,305,Zamir White,Oakland Raiders,RB,6.649542316240058,,93.0
305,306,Allen Robinson,New York Giants,WR,6.602358379806526,11.0,
306,307,Mike Evans,Tampa Bay Buccaneers,WR,6.585577626742302,11.0,31.0
307,308,Shane Zylstra,Detroit Lions,TE,6.584141416904252,5.0,
308,309,Cam Sims,Carolina Panthers,WR,6.512551127660696,11.0,
309,310,Khari Blasingame,Chicago Bears,RB,6.483680359754318,7.0,
310,311,Marquise Brown,Kansas City Chiefs,WR,6.475312588495436,6.0,89.0
311,312,Jonathan Mingo,Carolina Panthers,WR,6.472154996793925,11.0,
312,313,Tyler Scott,Chicago Bears,WR,6.464483885317551,7.0,
313,314,Isaiah Spiller,San Diego Chargers,RB,6.450692352763412,,
314,315,Mike Strachan,Carolina Panthers,WR,6.447737594469028,11.0,
315,316,Derek Carr,New Orleans Saints,QB,6.430060235266714,12.0,211.0
316,317,Tyler Higbee,St. Louis Rams,TE,6.422591289749851,,238.0
317,318,Gerald Everett,Chicago Bears,TE,6.413289875523535,7.0,
318,319,Kadarius Toney,Kansas City Chiefs,WR,6.4032299259611385,6.0,245.0
319,320,Boston Scott,St. Louis Rams,RB,6.392317835057669,,
320,321,Donald Parham,San Diego Chargers,TE,6.391972728635796,,
321,322,Puka Nacua,St. Louis Rams,WR,6.376651344436399,,14.0
322,323,Parris Campbell,Philadelphia Eagles,WR,6.342719330659231,5.0,
323,324,C.J. Uzomah,Philadelphia Eagles,TE,6.332362660403521,5.0,
324,325,Marcus Mariota,Washington Football Team,QB,6.320061226351981,,
325,326,Nico Collins,Houston Texans,WR,6.310558103550596,14.0,29.0
326,327,Josh Palmer,San Diego Chargers,WR,6.310104387177079,,
327,328,Dallas Goedert,Philadelphia Eagles,TE,6.287645358257912,5.0,104.0
328,329,Roschon Johnson,Chicago Bears,RB,6.252922017366573,7.0,197.0
329,330,Jeremy McNichols,Washington Football Team,RB,6.245376471964358,,
330,331,Chris Manhertz,New York Giants,TE,6.239636477315397,11.0,
331,332,Blaine Gabbert,Kansas City Chiefs,QB,6.213010833672127,6.0,
332,333,Jaret Patterson,San Diego Chargers,RB,6.197604194109419,,
333,334,Jacoby Brissett,New England Patriots,QB,6.153346056921021,14.0,
334,335,Mecole Hardman,Kansas City Chiefs,WR,6.138250940097379,6.0,
335,336,Miles Boykin,New York Giants,WR,6.126007342234835,11.0,
336,337,Tutu Atwell,St. Louis Rams,WR,6.073463885901165,,
337,338,Skyy Moore,Kansas City Chiefs,WR,6.037389150041082,6.0,
338,339,Terry McLaurin,Washington Football Team,WR,5.999394519353332,,88.0
339,340,DeAndre Carter,Chicago Bears,WR,5.995766559554505,7.0,
340,341,Grant Calcaterra,Philadelphia Eagles,TE,5.992639159825696,5.0,
341,342,Jalen Guyton,Oakland Raiders,WR,5.989173028080679,,
342,343,Dyami Brown,Washington Football Team,WR,5.968874132982161,,
343,344,Colby Parkinson,St. Louis Rams,TE,5.941308216723039,,
344,345,Zach Ertz,Washington Football Team,TE,5.92140706094359,,221.0
345,346,John Bates,Washington Football Team,TE,5.909730357596279,,
346,347,Noah Gray,Kansas City Chiefs,TE,5.9032057336491945,6.0,
347,348,Derrick Gore,Washington Football Team,RB,5.8639006800619455,,
348,349,Michael Gallup,Oakland Raiders,WR,5.8543746369085214,,
349,350,Trenton Irwin,Cincinnati Bengals,WR,5.824389023366224,12.0,
350,351,Justin Watson,Kansas City Chiefs,WR,5.818709952345401,6.0,
351,352,Trayveon Williams,Cincinnati Bengals,RB,5.815187893765695,12.0,
352,353,Jack Stoll,New York Giants,TE,5.813284036672256,11.0,
353,354,Jamison Crowder,Washington Football Team,WR,5.793662658704107,,
354,355,Tanner Hudson,Cincinnati Bengals,TE,5.792150377878906,12.0,
355,356,John Ross,Philadelphia Eagles,WR,5.770805885085899,5.0,
356,357,Montrell Washington,Kansas City Chiefs,WR,5.741961840993647,6.0,
357,358,Ronnie Rivers,St. Louis Rams,RB,5.717058925962711,,
358,359,Cole Turner,Washington Football Team,TE,5.703708282801465,,
359,360,Demarcus Robinson,St. Louis Rams,WR,5.672078909180913,,225.0
360,361,Olamide Zaccheaus,Washington Football Team,WR,5.661143320054339,,
361,362,Daniel Bellinger,New York Giants,TE,5.656594720529207,11.0,
362,363,Dante Pettis,Chicago Bears,WR,5.645381820604768,7.0,
363,364,Jahan Dotson,Washington Football Team,WR,5.60460432305944,,229.0
364,365,Keaontay Ingram,Kansas City Chiefs,RB,5.597238603934631,6.0,
365,366,Mike Gesicki,Cincinnati Bengals,TE,5.583769366101902,12.0,228.0
366,367,Albert Okwuegbunam,Philadelphia Eagles,TE,5.55658534467926,5.0,
367,368,Chris Rodriguez,Washington Football Team,RB,5.446946102705264,,
368,369,Chris Evans,Cincinnati Bengals,RB,5.4084078360429215,12.0,
369,370,Jalin Hyatt,New York Giants,WR,5.393190195838547,11.0,226.0
370,371,Lawrence Cager,New York Giants,WR,5.388172203220264,11.0,
371,372,Cole Kmet,Chicago Bears,TE,5.374078513345769,7.0,142.0
372,373,Damiere Byrd,Washington Football Team,WR,5.3729282038831325,,
373,374,Darius Slayton,New York Giants,WR,5.372044396260847,11.0,223.0
374,375,Zach Gentry,Oakland Raiders,TE,5.3711502964828,,
375,376,Zack Moss,Cincinnati Bengals,RB,5.368459576841354,12.0,105.0
376,377,Michael Mayer,Oakland Raiders,TE,5.351368928740378,,187.0
377,378,Isaiah Hodgins,New York Giants,WR,5.347431874762549,11.0,
378,379,Tre Tucker,Oakland Raiders,WR,5.303714467254776,,
379,380,Drew Sample,Cincinnati Bengals,TE,5.279121996188812,12.0,
380,381,Jameis Winston,Cleveland Browns,QB,5.204303268257398,10.0,
381,382,Tyler Davis,St. Louis Rams,TE,5.157454977911551,,
382,383,Travis Kelce,Kansas City Chiefs,TE,5.12746243921128,6.0,24.0
383,384,Ihmir Smith-Marsette,Carolina Panthers,WR,5.097359024678879,11.0,
384,385,Dax Milne,Washington Football Team,WR,5.090744575425717,,
385,386,Collin Johnson,Chicago Bears,WR,5.058637425240518,7.0,
386,387,A.J. Brown,Philadelphia Eagles,WR,5.037309353813029,5.0,13.0
387,388,Samaje Perine,Denver Broncos,RB,5.021585727158056,14.0,
388,389,DeVonta Smith,Philadelphia Eagles,WR,4.981211273794789,5.0,50.0
389,390,Cooper Rush,Dallas Cowboys,QB,4.9215567443836985,7.0,
390,391,Tyler Johnson,St. Louis Rams,WR,4.91602618629882,,
391,392,Freddie Swain,Chicago Bears,WR,4.842349014414648,7.0,
392,393,Cooper Kupp,St. Louis Rams,WR,4.805425246557652,,49.0
393,394,Tommy Sweeney,Chicago Bears,TE,4.789818995174401,7.0,
394,395,D.J. Moore,Chicago Bears,WR,4.748855039617117,7.0,
395,396,Harrison Bryant,Oakland Raiders,TE,4.728225802005903,,
396,397,Gunner Olszewski,New York Giants,WR,4.695409898914439,11.0,
397,398,Keenan Allen,Chicago Bears,WR,4.687472809340686,7.0,70.0
398,399,Andrei Iosivas,Cincinnati Bengals,WR,4.63323830057486,12.0,243.0
399,400,Rashee Rice,Kansas City Chiefs,WR,4.548417982955301,6.0,42.0
400,401,Tee Higgins,Cincinnati Bengals,WR,4.545458194450987,12.0,53.0
401,402,Dorian Thompson-Robinson,Cleveland Browns,QB,4.465012280533021,10.0,
402,403,Aaron Rodgers,New York Jets,QB,4.360492648572594,12.0,111.0
403,404,Marvin Mims,Denver Broncos,WR,4.349605860343047,14.0,
404,405,Marcedes Lewis,Chicago Bears,TE,4.215477801040319,7.0,
405,406,Davante Adams,Oakland Raiders,WR,4.21460750132745,,20.0
406,407,Jaleel McLaughlin,Denver Broncos,RB,4.167557818331977,14.0,182.0
407,408,Zach Pascal,Arizona Cardinals,WR,4.075854871758839,11.0,
408,409,Elijah Higgins,Arizona Cardinals,WR,4.024374113702868,11.0,
409,410,Michael Wilson,Arizona Cardinals,WR,4.010782586296418,11.0,127.0
410,411,DeeJay Dallas,Arizona Cardinals,RB,3.9812701045436505,11.0,
411,412,Greg Dortch,Arizona Cardinals,WR,3.965956731960406,11.0,233.0
412,413,Andy Dalton,Carolina Panthers,QB,3.900708502372504,11.0,
413,414,Javonte Williams,Denver Broncos,RB,3.876421843052644,14.0,107.0
414,415,James Conner,Arizona Cardinals,RB,3.817246738567299,11.0,64.0
415,416,Sam Ehlinger,Indianapolis Colts,QB,3.745334190062379,14.0,
416,417,C.J. Beathard,Jacksonville Jaguars,QB,3.707615158922224,12.0,
417,418,Trey McBride,Arizona Cardinals,TE,3.631868043835465,11.0,59.0
418,419,Marlon Mack,Arizona Cardinals,RB,3.562218280132678,11.0,
419,420,David Sills,Denver Broncos,WR,3.4994386145849834,14.0,
420,421,Chris Moore,Arizona Cardinals,WR,3.4975025240060726,11.0,
