team,position,penalty,GP,player_display_name,age,completions,attempts,passing_yards,passing_tds,interceptions,sacks,sack_yards,sack_fumbles,sack_fumbles_lost,passing_air_yards,passing_yards_after_catch,passing_first_downs,passing_epa,passing_2pt_conversions,pacr,dakota,carries,rushing_yards,rushing_tds,rushing_fumbles,rushing_fumbles_lost,rushing_first_downs,rushing_epa,rushing_2pt_conversions,games,ppr_sh,status,comp %,td:int,yards/attempts,yards/comp,yards/carry,passer rating,PPG,oline,rb,wr,qb,te
den,QB,0.82,10,Jarrett Stidham,28.0,11.5,19.3,140.8,0.8,0.7,1.8,11.4,0.2,0.1,159.6,76.9,6.3,-19.146231755186193,0.0,11.477627349798166,0.18308441755269347,3.0,9.9,0.0,0.2,0.0,1.1,-4.796185921004509,0.0,0,0.4051815453831268,0,1.7446148229280758,3.9999999999999996,21.23694779116466,36.41372212692968,7.888888888888889,231.65617013508577,7.622,70.92287450660986,12.9536826874965,0,18.75997934731319,0
nyg,QB,0.8800000000000001,10,Drew Lock,28.0,11.5,18.7,133.0,0.5,0.5,1.5,7.8,0.1,0.0,173.8,64.5,5.2,-9.872566313626344,0.0,7.790290161046969,0.3769469996806828,1.5,6.7,0.2,0.1,0.1,0.6,-0.0725788964191452,0.0,0,0.2310395349646089,0,1.2351825509720247,2.0,14.234826932195354,23.05876865671642,8.1,161.61934961277066,7.790000000000003,33.331244909466825,6.438620967877493,0,8.7253069601055,0
nyj,QB,1.0,10,Tyrod Taylor,35.0,11.6,18.0,134.1,0.5,0.3,1.7,9.4,0.2,0.0,154.1,57.8,5.2,2.116015696653961,0.0,6.960946885779897,0.7737828506503619,3.8,19.7,0.0,0.2,0.0,1.0,-0.4128365462541494,0.0,0,0.1333964627180254,0,0.6444444444444445,1.6666666666666667,7.45,11.560344827586206,5.184210526315789,89.14351851851853,7.933999999999999,35.0855209573335,10.613626249479308,0,8.187139713823433,0
min,QB,0.9555555555555555,9,Nick Mullens,29.0,13.444444444444445,19.22222222222222,170.0,0.8888888888888888,1.0,1.3333333333333333,11.666666666666666,0.2222222222222222,0.0,172.22222222222223,66.0,7.555555555555555,24.734363909736317,0.0,9.412531842652907,0.9183986935760153,1.5555555555555556,3.6666666666666665,0.0,0.0,0.0,0.5555555555555556,-0.7534562247318508,0.0,0,0.19498683547023699,0,1.5156756756756757,1.875,17.784324324324324,23.726666666666667,4.5,194.48423423423424,8.277777777777777,46.86423156443832,12.63344667893255,0,11.336944111582293,0
ram,QB,1.0,7,Jimmy Garoppolo,33.0,15.714285714285714,24.142857142857142,172.14285714285714,1.0,1.2857142857142858,2.0,14.428571428571429,0.0,0.0,194.85714285714286,66.85714285714286,8.571428571428571,-19.161635413862108,0.14285714285714285,5.848699342114885,0.4281019083343922,2.857142857142857,5.571428571428571,0.0,0.14285714285714285,0.0,0.8571428571428571,-2.711120236519492,0.0,0,0.127552035658853,0,0.650887573964497,0.7777777777777778,7.1301775147929,10.954545454545457,1.95,77.65039447731755,8.585714285714285,41.10018169287638,10.534824154216832,0,10.084202408081058,0
phi,QB,1.0,12,Kenny Pickett,26.0,16.75,27.0,172.5,0.5,0.3333333333333333,1.9166666666666667,14.416666666666666,0.0,0.0,190.66666666666666,87.16666666666667,7.583333333333333,-40.24149194660611,0.0,11.478721148380666,0.6764083013342229,3.5,4.5,0.08333333333333333,0.16666666666666666,0.0,1.0,-5.1628800429785695,0.0,0,0.136653356811587,0,0.6203703703703703,1.5,6.388888888888889,10.298507462686567,1.2857142857142858,81.43004115226339,8.850000000000001,53.12950316396216,14.57062837082567,0,12.78804161074152,0
car,QB,1.0,16,Bryce Young,23.0,19.6875,32.9375,179.8125,0.6875,0.625,3.875,29.8125,0.5625,0.375,250.5625,81.25,8.3125,-160.3264418747372,0.0625,12.786641553355812,0.672251326242199,2.4375,15.8125,0.0,0.125,0.0,1.125,21.616299519575787,0.0625,0,0.1544860016201371,0,0.5977229601518027,1.1,5.459203036053131,9.133333333333333,6.487179487179487,73.6914927261227,8.89875,49.871561932209765,14.222381460872096,0,11.862108143022702,0
den,QB,1.0,12,Zach Wilson,25.0,18.416666666666668,30.666666666666668,189.25,0.6666666666666666,0.5833333333333334,3.8333333333333335,28.333333333333332,0.5833333333333334,0.3333333333333333,222.66666666666666,92.75,8.666666666666666,-101.30015159158766,0.08333333333333333,10.966106838936264,0.1363574367179748,3.0,17.583333333333332,0.0,0.3333333333333333,0.25,0.5833333333333334,-17.91052699665122,0.08333333333333333,0,0.1562776880179288,0,0.6005434782608695,1.1428571428571428,6.171195652173913,10.276018099547512,5.861111111111111,77.16259057971016,8.995000000000001,70.92287450660986,12.9536826874965,0,18.75997934731319,0
dal,QB,0.8250000000000001,8,Trey Lance,24.0,7.0,12.75,99.625,0.625,0.375,0.75,3.0,0.0,0.0,108.5,46.0,4.125,0.9592151548353947,0.0,10.37502516130603,0.1214870732928406,6.75,29.375,0.125,0.125,0.0,1.875,2.0610237097919493,0.125,0,0.21036110097830552,0,1.06133575647433,2.5,14.751022262607906,27.640650406504065,8.608552631578949,152.37013478721795,9.1725,54.633168347847885,10.741696934588004,0,14.25270732153566,0
htx,QB,0.925,20,Davis Mills,26.0,15.5,25.9,164.55,0.95,0.75,1.65,12.85,0.25,0.1,202.35,79.9,7.35,-79.36495943679986,0.1,16.613202253186103,0.514934115533884,1.7,5.85,0.1,0.15,0.05,0.4,2.725036313458186,0.0,0,0.2146223390055527,0,1.071141801830737,inf,10.94529200792249,20.28919330289193,7.875,154.91006905411916,9.267,32.328801453543015,7.2364731804188915,0,8.20510302659651,0
