team,position,penalty,GP,player_display_name,age,carries,rushing_yards,rushing_tds,rushing_fumbles_lost,rushing_first_downs,rushing_2pt_conversions,receptions,targets,receiving_yards,receiving_tds,receiving_fumbles_lost,receiving_air_yards,receiving_yards_after_catch,receiving_first_downs,receiving_2pt_conversions,special_teams_tds,rrtd,PPG,oline,qb,rb,wrte,dst
nor,RB,1.0,13,Jamaal Williams,29.0,8.153846153846153,23.53846153846154,0.07692307692307693,0.0,1.4615384615384615,0.0,1.3846153846153846,1.5384615384615385,4.769230769230769,0.0,0.0,-2.076923076923077,6.6923076923076925,0.07692307692307693,0.0,0.0,0.07692307692307693,4.676923076923077,0.348066298342542,0.6835443037974682,0.1559454191033138,0.1802325581395347,0.5315315315315301
crd,RB,0.9666666666666666,9,Tony Jones,27.0,4.0,13.222222222222221,0.2222222222222222,0.0,1.1111111111111112,0.0,1.3333333333333333,2.0,7.444444444444445,0.0,0.0,-4.444444444444445,8.666666666666666,0.1111111111111111,0.0,0.0,0.2222222222222222,4.733333333333333,0.0994475138121551,0.5678119349005424,0.9337231968810916,0.545348837209302,0.1283783783783763
was,RB,1.0,8,Chris Rodriguez,24.0,6.375,30.875,0.25,0.125,1.75,0.0,0.25,0.25,1.5,0.0,0.0,-0.875,2.375,0.125,0.0,0.0,0.25,4.737500000000001,0.5138121546961325,1.0,0.1949317738791425,0.0848837209302324,0.2907907907907914
chi,RB,0.911111111111111,9,Travis Homer,26.0,2.111111111111111,8.222222222222221,0.0,0.0,0.4444444444444444,0.0,1.7777777777777777,2.111111111111111,17.444444444444443,0.1111111111111111,0.1111111111111111,2.888888888888889,14.333333333333334,0.7777777777777778,0.0,0.0,0.1111111111111111,4.788888888888888,0.4175217048145221,0.9204339963833632,0.3684210526315792,0.96860465116279,0.2747747747747748
sfo,RB,1.0,9,Jordan Mason,25.0,4.444444444444445,22.88888888888889,0.3333333333333333,0.0,1.4444444444444444,0.0,0.3333333333333333,0.4444444444444444,3.4444444444444446,0.0,0.0,1.3333333333333333,2.5555555555555554,0.1111111111111111,0.0,0.0,0.3333333333333333,4.966666666666667,0.3520126282557223,0.867992766726944,0.6822612085769979,1.0,0.942942942942941
crd,RB,0.85,10,Marlon Mack,28.0,4.4,18.5,0.1,0.0,1.0,0.0,1.0,1.5,10.7,0.1,0.0,0.0,11.8,0.2,0.0,0.0,0.2,5.120000000000001,0.0994475138121551,0.5678119349005424,0.9337231968810916,0.545348837209302,0.1283783783783763
dal,RB,1.0,9,Royce Freeman,28.0,8.555555555555555,35.44444444444444,0.2222222222222222,0.0,1.8888888888888888,0.0,0.1111111111111111,0.2222222222222222,1.4444444444444444,0.0,0.0,0.0,1.5555555555555556,0.1111111111111111,0.0,0.0,0.2222222222222222,5.133333333333333,0.2336227308603002,0.91500904159132,0.1695906432748537,0.4058139534883715,1.0
det,RB,0.9500000000000001,12,Craig Reynolds,28.0,5.333333333333333,23.416666666666668,0.08333333333333333,0.08333333333333333,1.25,0.0,1.1666666666666667,1.25,13.583333333333334,0.0,0.0,0.0,13.916666666666666,0.5833333333333334,0.0,0.0,0.08333333333333333,5.2,1.0,0.8372513562386981,0.5925925925925921,0.5895348837209302,0.4339339339339343
cin,RB,1.0,10,Chase Brown,24.0,4.4,17.9,0.0,0.0,0.6,0.0,1.4,1.5,15.6,0.1,0.0,-4.5,19.4,0.4,0.0,0.0,0.1,5.35,0.4293606945540653,0.6962025316455696,0.1033138401559456,0.4302325581395343,0.2687687687687692
car,RB,1.0,16,Miles Sanders,27.0,8.0625,27.0,0.0625,0.125,1.5,0.0,1.6875,2.5625,9.625,0.0,0.0,1.4375,9.875,0.5,0.0,0.0,0.0625,5.475,0.3417521704814521,0.3001808318264014,0.8421052631578942,0.3825581395348836,0.3671171171171163
